#{"t_start": 1669409387.4536817, "env_id": null}
r,l,t
15.485388,144,612.574502
29.468982,211,617.700865
22.85129,125,621.071459
16.793206,135,624.543871
11.900579,53,626.237055
10.723747,51,627.876152
14.763047,65,629.703479
27.151613,289,637.053886
13.844495,65,639.042604
48.614103,254,645.684061
15.818612,140,649.749979
22.044622,183,654.70656
15.756619,125,658.273637
20.003853,135,662.089302
26.428794,140,665.318403
13.972432,151,668.797871
8.434534,71,670.62221
20.680076,149,674.068441
10.379091,59,675.676236
20.728825,103,678.216045
22.870251,154,681.804692
35.293481,190,685.997481
53.136074,614,699.11425
14.669535,143,702.552492
28.771509,204,707.169803
31.589809,238,712.415163
8.056498,87,714.581298
41.714938,298,721.072498
19.334463,185,725.23955
10.183558,103,727.778828
19.692163,131,730.834261
41.739224,281,737.119072
9.213615,74,738.976008
25.067075,157,742.647118
24.196934,197,747.151759
9.123216,103,749.710641
10.480922,61,751.403799
14.853481,119,754.233625
28.883712,225,759.244332
33.133071,289,765.61055
89.704847,666,779.793524
45.016538,314,786.680702
9.054922,63,788.395585
9.072487,62,790.182862
9.467724,54,791.686353
13.686313,84,793.97951
7.669296,66,795.702055
11.918795,65,797.392995
7.279995,45,798.706689
7.994979,59,800.351428
16.144127,90,802.57746
9.590896,61,804.177904
13.400762,181,808.338452
8.791643,58,809.874857
15.187584,177,814.016016
17.589463,125,817.086361
40.24389,280,823.190629
10.127294,61,824.882396
29.578848,296,831.465766
23.912122,256,837.127241
5.747877,66,838.903791
11.345741,65,840.643254
10.967588,103,843.113055
9.021248,69,844.899
34.297324,267,850.886428
19.241985,116,853.671089
35.968529,288,859.95412
52.011296,371,867.91908
19.139465,134,870.963968
10.704377,67,872.766019
12.514208,65,874.477555
4.827232,54,876.001638
12.277241,61,877.701824
37.683959,190,881.994936
24.404381,191,886.441369
26.917549,266,892.429556
23.558136,192,896.855837
12.005494,109,899.520065
7.007047,70,901.435697
10.320305,65,903.203851
9.613729,111,905.91159
23.866049,190,910.163807
39.559579,345,917.756372
18.823299,185,921.9773
12.956862,116,924.768519
9.869987,58,926.372785
10.691641,100,928.804843
17.173905,155,932.508081
7.452059,72,934.385807
25.671857,158,938.016458
50.575252,288,944.386535
43.862127,386,952.717762
6.265967,70,954.50758
25.097588,164,958.452572
12.556706,70,960.294708
9.516893,98,962.775765
25.530863,165,966.658171
11.860058,151,970.088274
26.312131,233,975.381213
15.177019,139,978.735249
20.407422,160,982.502415
37.198646,226,987.555767
15.703284,119,990.395786
28.60008,232,995.616882
32.690754,188,999.807725
11.256047,74,1001.731779
22.501914,196,1006.152875
41.791916,247,1011.707655
30.786118,218,1016.575588
10.638994,55,1018.089707
43.381131,319,1025.075306
11.829371,58,1026.728309
21.446653,228,1031.978567
15.254485,88,1034.223862
52.000758,362,1042.245978
22.478773,402,1050.999233
10.206358,55,1052.572485
10.899444,73,1054.412647
8.581113,67,1056.264743
25.915282,156,1059.869398
31.048324,172,1063.905467
10.766897,61,1065.655478
11.417719,59,1067.301663
18.360797,105,1069.877209
49.240562,368,1077.899053
33.986689,203,1082.463772
19.689706,123,1085.433462
34.763305,334,1092.81996
27.946066,211,1097.497013
7.394047,45,1098.821074
9.524673,173,1102.864484
8.203467,56,1104.385126
8.738922,66,1106.183391
9.165699,46,1107.540499
7.05359,43,1108.844936
12.407655,96,1111.251092
18.437932,151,1114.751192
25.572062,157,1118.437492
17.582223,101,1120.923445
11.138518,65,1122.664737
10.680262,57,1124.290644
8.040012,51,1125.762055
8.049998,47,1127.136974
7.494103,47,1128.489571
14.13564,115,1131.263947
10.420792,55,1132.718976
9.583169,50,1134.173995
8.701354,49,1135.645001
28.058002,192,1140.056812
46.269371,281,1146.290119
12.817644,66,1148.077137
26.906276,198,1152.625782
25.754793,217,1157.597469
20.940884,173,1161.606944
20.559353,123,1164.453864
13.727493,77,1166.493946
42.38399,241,1171.938952
10.38371,58,1173.577858
5.592261,47,1174.873061
8.468939,53,1176.411825
10.623385,53,1177.956687
8.057377,49,1179.348538
7.777454,45,1180.680853
21.960049,120,1183.584909
13.648461,91,1185.852831
10.879664,72,1187.760267
11.424848,64,1189.467893
5.52448,45,1190.820374
6.7361,51,1192.273155
14.617764,125,1195.299738
9.483678,54,1196.782555
10.9861,110,1199.425598
9.117991,49,1200.858755
8.261242,52,1202.334937
27.078296,237,1207.602242
11.225021,98,1210.089333
10.858041,65,1211.877471
8.823751,49,1213.34251
10.55196,60,1214.95083
11.032392,74,1216.929361
16.580593,158,1220.660173
20.627946,121,1223.505992
