#{"t_start": 1669332111.8025417, "env_id": null}
r,l,t
1.051285,63,862.897589
4.550219,221,866.927334
1.033921,227,871.079891
1.048636,140,876.484362
0.872598,247,880.927895
0.505704,51,882.473671
228.118596,315,887.676583
0.506947,57,889.227791
1.124235,123,891.745527
0.640101,242,895.983297
0.806147,165,899.13756
32.411434,241,903.402488
1.212382,162,906.460929
1.468517,173,909.708147
1.165415,134,912.383587
0.881841,239,916.468281
0.466781,71,918.156919
1.038981,58,919.684198
0.965827,79,921.437973
2.712947,133,923.988827
1.043839,59,925.536553
0.542532,247,929.643458
0.757722,88,931.610093
9.279109,131,934.442572
0.722857,192,937.866427
303.30483,320,943.205425
0.672819,391,949.507915
324.711499,630,961.469223
1.072415,220,965.288192
1.525517,139,967.919433
30.129911,230,971.810547
1.346046,337,977.183642
1.664785,111,979.333393
0.943313,174,982.416956
0.875155,104,984.504785
1.235941,138,987.067053
0.5143,58,988.519058
43.648772,245,992.779474
244.543655,424,999.429012
0.883561,75,1001.19224
1.077228,57,1002.794569
0.607606,86,1004.667229
0.902772,177,1007.69164
0.763256,160,1010.535535
0.759963,208,1014.10548
2.461333,242,1018.148209
1.417202,150,1021.023002
1.28599,310,1028.6064
0.74363,353,1034.77574
1.304793,141,1037.628419
74.092663,226,1041.771107
1.534875,73,1043.633635
0.77683,312,1049.123351
36.452554,251,1054.294077
21.852975,176,1057.729105
0.801405,203,1061.558828
13.938967,132,1064.29137
0.794074,170,1067.637477
0.836967,137,1070.483066
0.777778,128,1073.140348
1.632136,56,1074.696757
13.1497,398,1081.431861
0.607731,64,1083.148709
1.333883,459,1090.906723
19.465208,242,1095.374758
1.225924,95,1097.609282
1.237263,150,1100.497583
1.192365,217,1104.280577
0.798422,459,1114.021058
0.801172,45,1115.457605
56.074245,315,1120.689787
87.239211,511,1128.736365
0.477833,67,1130.36302
0.558453,70,1132.020082
1.020929,115,1134.289372
1.265016,125,1136.711194
0.667668,62,1138.225689
0.917093,169,1141.245761
0.901287,228,1145.14814
0.655007,230,1149.202141
435.355851,492,1157.921212
1.054498,99,1160.661774
1.100823,145,1163.562774
254.571921,378,1169.799251
22.618058,360,1176.007425
8.744749,234,1180.275886
550.293819,435,1189.480609
1.117857,66,1191.149981
0.755233,53,1192.586993
1.448578,61,1194.083518
54.310836,480,1201.407822
71.292063,297,1205.995031
0.973443,74,1207.763721
0.877829,247,1212.164159
0.957291,107,1214.376112
0.407869,57,1215.857441
72.153772,300,1220.723486
0.850134,49,1222.093207
0.771827,61,1223.668975
74.934651,492,1231.278611
394.175645,251,1235.98545
44.781683,307,1241.29332
1.607636,201,1245.043598
0.651362,138,1247.856367
1.393829,106,1250.213607
73.494509,286,1255.253043
0.763603,107,1259.971397
0.714586,60,1261.674528
1.045216,173,1265.076491
1.29827,244,1269.619333
0.932964,72,1271.497608
6.4965,344,1277.653912
1.455223,250,1282.155438
22.478997,127,1284.755302
0.658242,384,1291.279191
34.859117,238,1295.891072
3.470781,186,1299.270326
9.707489,185,1302.64045
