#{"t_start": 1669321952.5620885, "env_id": null}
r,l,t
7.581091,167,523.200339
2.983386,83,524.186962
13.720856,352,527.130095
7.145677,181,528.815132
18.803828,349,533.270533
7.177021,184,535.160931
25.740596,421,538.585106
8.995127,229,540.706537
18.112843,632,545.767416
2.861983,110,547.007384
2.813819,57,547.856409
10.97741,229,549.995889
5.678845,76,550.977459
5.058431,155,552.496718
9.12207,221,554.652201
8.29292,287,557.167681
7.01311,218,559.142097
10.095147,188,560.945107
14.779237,193,562.768088
2.621128,59,563.624256
3.239328,105,564.815749
16.835696,195,566.871603
6.556561,159,568.481477
28.425677,576,573.927983
9.307081,196,575.811281
12.636325,252,578.072825
24.810383,341,580.963327
2.999628,54,581.826037
5.859198,271,584.181216
3.000616,74,585.135304
20.977436,385,588.353827
11.018124,255,590.605384
7.059842,219,592.747219
6.894511,267,595.230144
5.88472,232,597.703784
9.243177,179,600.037707
9.155645,270,602.776981
8.352234,204,604.819444
6.01197,170,606.547217
7.524161,139,607.995104
15.646434,223,610.014831
2.226323,64,611.928574
10.622776,197,613.791697
2.51353,56,614.57688
3.031011,55,615.409009
23.129315,527,619.613973
11.808194,313,622.316382
12.020306,299,624.96773
23.171472,389,628.380754
5.138007,273,630.827136
39.239062,673,636.506131
7.184894,203,638.734741
5.786096,85,639.801873
11.316856,209,641.758601
13.654923,241,643.934071
21.321695,407,647.376061
9.24307,312,651.357483
21.254977,310,654.240769
22.044238,297,656.96761
16.248512,286,659.581666
9.311855,238,661.786378
13.360302,444,665.456147
22.901035,365,668.633464
8.975383,214,670.630171
3.677538,71,671.58775
14.595909,236,673.738455
11.61352,234,675.977937
15.730788,341,678.957604
25.982209,308,681.614393
18.317019,274,684.024939
10.237414,266,686.338912
7.854823,194,689.18465
6.458764,203,691.120308
13.568163,213,693.09593
5.856046,189,694.878375
7.661923,148,696.426548
11.224526,142,697.9836
9.822012,220,700.197413
6.622568,129,701.645943
4.290333,153,703.137363
5.762645,179,704.821349
7.139037,158,706.410343
3.355904,223,708.50979
5.415618,206,710.813498
17.697642,309,714.126646
32.749085,353,717.51181
17.299078,273,719.95218
9.16975,181,721.618285
2.461258,55,722.407989
9.561623,180,724.03761
11.935516,234,726.202701
13.808522,146,727.634499
7.107803,198,730.439458
9.645477,153,732.037847
16.748298,275,734.774339
11.136805,360,737.905593
20.197359,302,740.485059
2.118672,100,741.623436
15.895421,248,743.849589
8.958708,255,746.154205
39.842883,530,750.391378
10.807011,167,752.135234
7.338952,174,754.11367
13.587258,175,756.028354
14.183772,295,758.903278
12.744692,222,760.897161
38.645598,398,764.033525
11.410002,403,768.344753
9.526838,341,771.436526
5.604349,381,774.796348
17.721619,254,777.066503
15.391622,218,779.116341
39.257911,553,783.504587
14.180351,210,785.462143
6.277404,155,787.004897
19.388219,727,792.681945
11.706585,210,794.566058
33.127365,477,798.453535
20.221514,400,801.842227
11.269754,315,805.628865
7.775267,259,807.954672
10.127243,405,811.307028
14.837952,201,813.166948
18.356757,620,818.139945
5.117284,193,819.893755
4.255084,218,821.897497
14.785195,317,824.536855
25.661329,388,827.826047
11.772406,216,829.805557
7.607809,169,831.552762
21.991903,420,835.214033
16.944225,262,837.839325
7.941373,221,840.714262
3.627627,73,841.664942
9.231626,179,843.312929
21.461665,377,846.454472
47.239697,650,851.608204
26.193769,311,854.361079
18.474908,240,856.572293
5.239465,197,858.768871
23.208155,434,863.956638
12.588596,416,868.726746
27.929621,406,874.029559
17.009491,270,877.197557
15.911853,224,879.636619
10.630955,182,884.005099
9.0235,241,892.893531
9.416024,191,897.782728
23.614026,349,902.200641
24.766541,422,905.6399
6.802822,289,908.006399
17.523217,187,909.831461
21.051582,433,913.389334
19.037213,536,917.480199
15.196549,232,919.406023
22.938363,467,922.974319
9.773496,302,925.623801
30.031748,352,928.474189
17.130211,277,932.038826
31.248463,566,937.395826
5.216009,79,938.716774
12.542111,244,942.026886
11.540326,190,944.298568
3.61999,140,946.165593
33.445935,764,955.864776
11.708827,384,963.771768
8.26091,173,968.084409
16.330781,218,972.998716
11.072055,185,977.287486
7.217019,139,980.759369
15.399183,285,988.236095
36.98709,386,1000.648647
23.928879,416,1012.071328
12.071417,332,1020.088907
24.141421,488,1035.682219
4.012939,97,1039.840336
13.828223,254,1045.695097
11.556622,191,1050.085524
13.05645,348,1057.377458
43.449403,799,1072.932009
18.490433,318,1079.72964
12.298098,196,1084.255779
6.962251,501,1094.282819
25.001024,543,1107.798383
6.92637,266,1113.515168
11.659983,185,1117.801146
13.543551,437,1126.780149
18.339168,269,1129.792588
16.671382,284,1132.794814
15.597782,433,1137.383434
21.970219,494,1141.449132
25.864819,353,1144.359559
35.427808,577,1148.917994
18.83774,346,1151.817006
8.250687,181,1153.538048
21.588707,619,1159.703686
32.277974,453,1163.365606
34.955577,390,1166.652875
17.572172,289,1169.167023
9.271076,230,1171.313846
39.50483,550,1175.648677
42.883281,648,1180.887344
17.567054,213,1182.924847
17.163201,1001,1192.549725
46.533449,617,1198.373281
12.536558,199,1200.510303
42.157175,508,1204.911847
8.940331,153,1206.412972
2.330247,102,1207.537221
3.350136,68,1208.450496
6.729712,160,1209.992426
12.902074,245,1212.171294
8.375194,191,1213.909067
23.053619,362,1217.004755
44.164851,720,1222.703397
5.903195,117,1223.951411
30.15709,513,1229.188327
25.550014,462,1233.035698
15.062586,228,1235.150865
21.548888,271,1237.624994
16.708834,288,1240.116761
36.456197,390,1243.358132
6.335611,182,1245.088818
12.825447,385,1248.384532
21.452923,258,1250.692446
14.120332,214,1252.895976
7.74203,133,1254.307666
8.300857,136,1255.763801
13.200675,192,1257.619243
38.803547,791,1263.885546
34.131001,422,1268.559168
53.556681,631,1273.63467
42.368469,471,1277.780414
34.576722,624,1283.798608
31.034627,432,1287.471822
38.817147,429,1291.071385
11.065973,435,1294.642226
7.164114,109,1295.834231
38.677767,891,1303.715243
14.538334,314,1306.4805
20.558703,287,1309.01501
57.429724,850,1316.00341
28.060497,399,1319.389189
5.151632,250,1321.736156
3.849434,152,1323.271828
43.327565,635,1328.326656
16.76141,210,1330.256161
50.580389,509,1334.407557
23.085183,291,1336.942431
57.562196,831,1344.543306
35.381593,789,1350.766244
14.955808,248,1353.00455
33.994652,519,1357.260595
20.375737,432,1360.838471
10.216349,237,1362.984452
33.963146,412,1366.334892
15.910545,467,1370.213337
52.63788,697,1377.142572
34.508394,432,1380.776425
16.717189,412,1384.178016
43.166834,708,1389.742091
55.976782,684,1395.13109
19.566266,404,1398.633101
21.101328,343,1401.540808
38.708926,552,1406.080548
24.775896,456,1410.883374
28.441922,603,1415.730627
24.208098,462,1419.509286
8.418073,166,1421.207125
52.479707,724,1426.820365
31.563165,744,1432.857276
