#{"t_start": 1669293086.6805642, "env_id": null}
r,l,t
5.10738,1001,1225.288055
0,54,1226.026644
0,61,1226.803126
2.795454,1001,1234.970238
5.852197,1001,1242.322246
6.721765,1001,1250.460375
0.333523,1001,1257.648409
1.278233,1001,1264.773777
0.000814,75,1265.676514
0.002295,59,1266.442329
8.768479,1001,1273.660649
1.889577,1001,1281.831645
0.003345,71,1282.716188
0,65,1283.531404
0.770311,1001,1290.771084
5.580761,1001,1297.907889
0,148,1299.264467
4.196641,1001,1306.401508
8.195369,1001,1314.440979
6.050164,1001,1321.667661
2.371255,1001,1328.756862
3.028088,1001,1335.876384
0.617102,1001,1343.838783
11.213184,1001,1351.043237
2.287029,1001,1358.562204
2.965128,1001,1365.684828
2.234499,1001,1373.707596
0.001296,61,1374.50489
0.14435,1001,1381.711851
3.523119,641,1386.474108
7.786326,1001,1393.575473
2.90578,1001,1400.989435
5.755156,1001,1409.043758
4.213998,1001,1416.357999
0.378869,1001,1427.2047
0,77,1428.726294
0,261,1431.798628
0.011738,1001,1439.996945
0.004911,1001,1448.716202
0,60,1449.638358
6.344789,1001,1457.610184
4.82521,1001,1466.469383
8.71067,1001,1475.689276
2.683843,1001,1484.888628
3.822233,1001,1492.850653
0.008138,98,1493.986712
0,699,1499.416436
5.575611,1001,1507.214954
0.007926,59,1508.071141
2.792183,1001,1516.599158
7.476414,1001,1524.25542
8.0744,1001,1531.715861
7.004059,1001,1539.511408
0.783856,1001,1548.161936
0,56,1548.991707
9.212253,1001,1556.644608
9.245591,1001,1564.391345
0.010152,53,1565.170657
0.90267,1001,1572.596168
8.967889,1001,1581.248668
1.17601,1001,1588.708679
0.408873,112,1589.835787
0.005317,65,1590.699651
0.002089,57,1591.441071
9.511291,1001,1598.899789
7.347225,1001,1606.268626
0.004481,153,1607.708114
0.004235,133,1609.859245
8.6e-05,50,1610.654871
1.041884,1001,1618.218788
7.335802,1001,1625.686571
2.34735,1001,1632.766525
3.18618,1001,1640.002803
0,63,1641.657045
4.542927,1001,1649.014466
0,59,1649.776353
3.881486,1001,1657.077216
2.044335,1001,1664.351089
0.008401,60,1665.16844
6.230387,1001,1673.336783
4.78783,512,1677.165167
1.75042,1001,1684.773722
3.763619,1001,1692.002346
5.905103,1001,1699.209949
0.967207,1001,1708.855519
3.753648,1001,1716.297186
3.856375,1001,1723.647241
3.375212,1001,1730.573868
